true_multi_label,predicted_multi_label
eudract,arrayexpress;bia;biomodels;bioproject;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;doi;efo;ega;emdb;empiar;ensembl;gca;geo;go;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;orphadata;pdb;pfam;protein_structures;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
chembl,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
reactome,alphafold;arrayexpress;bioproject;biosamples;brenda;cellosaurus;chembl;dbgap;ebisc;efo;ega;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;interpro;metabolights;mint;nct;omim;orphadata;pfam;prode;reactome;refseq;refsnp;rnacentral;rrid;uniparc;uniprot
geo,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
gisaid,
interpro,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
omim,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
rrid,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
ena,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
biomodels,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
biomodels,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
uniprot,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
cath,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
omim,arrayexpress;biomodels;bioproject;biostudies;brenda;cath;chebi;chembl;complexportal;dbgap;doi;efo;ega;ensembl;gca;go;hgnc;hpa;igsr;intact;interpro;metabolights;metagenomics;omim;orphadata;pfam;refsnp;rfam;rhea;rnacentral;rrid;treefam
interpro,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
gca,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
reactome,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
go,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
ensembl,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
gisaid,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
ega,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
ensembl,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
ensembl,alphafold;arrayexpress;bia;bioproject;biosamples;biostudies;brenda;cellosaurus;chembl;complexportal;dbgap;doi;ebisc;efo;ega;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
uniprot,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
biomodels,arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;omim;orphadata;pdb;pfam;protein_structures;refseq;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
dbgap,alphafold;arrayexpress;bia;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
gca,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
eudract,eudract;nct;prode
biostudies,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
treefam,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
alphafold,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
treefam,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
emdb,arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;omim;orphadata;pdb;pfam;protein_structures;refseq;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
rfam,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
gisaid,alphafold;arrayexpress;bioproject;biosamples;biostudies;brenda;cellosaurus;dbgap;ebisc;efo;ega;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;interpro;metabolights;metagenomics;mint;omim;orphadata;pdb;pfam;prode;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
efo,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
rfam,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
bioproject,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
pfam,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
complexportal,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
efo,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
pfam,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
go,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
efo,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
ena,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
dbgap,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
cellosaurus,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
cellosaurus,prode
rrid,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
refseq,alphafold;arrayexpress;bia;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
ebisc,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
go,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
rfam,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
refsnp,eudract;nct
ensembl,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
metagenomics,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
refseq,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
rrid,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
doi,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
metagenomics,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
ega,eudract;nct;prode;refsnp
biostudies,eudract;mint;nct;prode
biomodels,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
metabolights,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
omim,alphafold;arrayexpress;bia;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
chembl,alphafold;bioproject;biosamples;brenda;cellosaurus;chembl;dbgap;ena;ensembl;eudract;gca;gisaid;go;hgnc;hipsci;metabolights;mint;nct;omim;prode;reactome;refseq;refsnp;rrid;uniparc;uniprot
gisaid,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;omim;orphadata;pdb;pfam;protein_structures;reactome;refseq;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
bia,arrayexpress;bia;biomodels;bioproject;biostudies;brenda;cath;chebi;chembl;complexportal;doi;efo;ega;emdb;empiar;ensembl;gca;geo;go;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;omim;orphadata;pdb;pfam;protein_structures;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
bioproject,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
